3kbnA,1
3idoA,1
1znzA,1
1lbyA,2
2yw2A,2
1ql9A,2
2ntyC,1
1zu0A,2
1ppcE,2
1u7zA,1
1bxqA,2
2dkcA,1
1c3jA,1
3b3fA,1
1mkaA,2
2oecB,2
2i56A,1
2za1A,1
1txcA,2
1foaA,1
1htfA,1
2vflA,1
2z0xA,1
1oxmA,1
3ek5A,2
1g4oA,1
1nmkA,1
1arcA,1
5tlnA,4
2dttB,2
3lbzA,3
2b99A,2
3cwkA,1
2ixlA,2
1ohrA,1
3ej0A,1
1s3fA,1
2chzA,1
2gwhA,2
1k0nA,1
2bogX,1
3a2sX,1
3efvA,1
1ltzA,2
3i8xA,1
1k7eA,1
1jylA,2
4stdA,1
1zt9A,2
2hxmA,1
1if7A,1
1pphE,2
1yfrA,1
1ezqA,2
966cA,5
1mmbA,4
3lzzA,1
3g1xA,2
1blcA,1
1eswA,2
3kp5A,1
1xdhA,2
2f9wA,2
3hp8A,2
2j72B,1
1j9kA,1
1bqoB,3
2qwiA,4
1ow3B,1
1teiA,3
2zgmB,1
1xwqA,1
1sz3A,2
2zasA,1
1ixnA,1
1a7xA,1
3maqA,1
1ytjA,1
1uf8A,1
2qttA,1
1mncA,3
1ettH,1
3aaqA,1
2i4nB,1
1h9uA,1
1i8zA,1
2qyqA,1
1r091,1
2ggaA,1
3dwrA,1
2artA,1
3gd9A,1
2gj5A,2
1cimA,1
3e3sA,3
3cgyA,1
1l8gA,1
1q51A,1
2irxA,1
2ywcA,1
1k1jA,2
3iiqA,2
1dcpA,1
2q6vA,1
2gfxA,1
1a2kC,1
1y2vA,1
3dzlB,1
1pnfA,1
2zhzB,2
1j8rA,1
1g6cA,1
3m4eA,1
2yyuB,1
2rjcA,2
3f1kA,1
1hdqA,1
3dsrA,1
2ovdA,1
2z09A,1
2c6zA,1
1xz8A,1
4f10A,1
2fhjA,2
2wvaA,2
3i6cA,2
1lxmA,1
3jynA,1
2zcpA,1
1sbyA,1
1ybuA,1
3gidA,1
1ogkB,1
2ahwA,1
3gh6A,1
1wnzA,1
1tvpB,1
1k3yA,3
1sthA,1
1k54A,1
2varA,1
3du4A,2
1fqoA,2
3bazA,1
1pw1A,1
2e1tA,1
2cwhB,2
2zu3A,1
1e3vA,1
2jbtA,2
3ct5A,1
1i7lA,1
2dzbA,1
1ogoX,1
1lqdB,2
2chtF,2
1svwA,1
1nz7A,1
1ucdA,2
1xqpA,2
1og1A,1
1f7bA,1
1e4gT,1
2z1sA,1
1rzuA,1
1fcvA,1
1tkyA,1
2v8lA,2
1wopA,2
3gdlA,2
3h2kA,2
2vu9A,2
2j8yA,1
2ihzA,1
2hk1A,1
7estE,3
5stdA,2
1bnwA,1
1zdfA,1
1goqA,3
1k22H,3
1swkA,1
1theA,1
1lloA,1
3c2fA,1
2e9zA,2
3manA,1
2g97A,1
1xtbA,1
2rkmA,1
1ch8A,1
1q8jA,1
1bq3A,1
3hvlA,1
1mxiA,1
1f0tA,2
2royA,1
3kdiA,1
1wq1G,1
1c5iA,1
2jgvD,1
1v0yA,1
1jclB,1
1xpyC,1
3gqkA,1
1eyrA,1
1tywA,1
1sgcA,1
3hvoA,1
2hblA,1
830cA,3
3gplA,1
1cenA,1
1fkgA,1
2vkmA,1
3bynA,2
1fjsA,2
1onhA,1
1x2bA,1
2rfhA,1
1bzyA,1
1o86A,1
3ldkA,1
2hl0A,1
1vcuA,1
1mq6A,2
2fa0A,1
1rn8A,1
3h72A,1
1pkkB,1
1ffqA,1
1a8tA,1
1x55A,1
2r68A,1
1p4nA,4
1nhuA,1
1qbuA,1
1uvtH,1
1qjiA,1
1kwcB,1
2g25A,2
1kgzB,1
1br6A,1
2dptA,2
1llrD,2
2fzsB,1
1mq5A,2
2qehA,1
1of8B,1
1um0A,2
2hzqA,1
1efyA,1
1a26A,1
3ergA,1
3h18A,1
1lzsA,1
1jieA,2
2e3rA,1
1etrH,1
1nhvA,1
1m48A,1
1lspA,1
2w1aC,1
2q71A,1
3hitA,1
1tjwA,1
3crrA,1
1hpvA,1
3cagA,2
3cpaA,1
1h0sA,1
3cxiA,1
1k7fA,1
1gwmA,2
2j4eB,1
3iesA,1
1mbzA,1
1vh3A,1
3stdA,1
3hiyA,1
1y30A,1
1vpsB,1
1d3pB,1
1zajA,1
3h39A,1
3b4yA,1
3gpoA,1
1rsdA,1
2hobA,1
2e0nB,1
3i0dA,1
3f47A,1
2hixA,1
2gteA,1
1i1hA,1
1d4pB,1
1goyA,1
2ateA,1
3exsA,1
1x6uA,1
3b6aA,1
1einA,1
2x60A,1
