prot_11bg.pdb,a;
prot_11gs.pdb,a;
prot_121p.pdb,a;
prot_12as.pdb,a;
prot_13gs.pdb,a;
prot_17gs.pdb,a;
prot_18gs.pdb,a;
prot_19gs.pdb,a;
prot_1a05.pdb,a;
prot_1a0f.pdb,a;
prot_1a0g.pdb,a;
prot_1a0j.pdb,a;
prot_1a0t.pdb,a;
prot_1a26.pdb,a;
prot_1a28.pdb,a;
prot_1a2b.pdb,a;
prot_1a2c.pdb,a;
prot_1a2k.pdb,a;
prot_1a2t.pdb,a;
prot_1a3g.pdb,a;
prot_1a42.pdb,a;
prot_1a46.pdb,a;
prot_1a4g.pdb,a;
prot_1a4i.pdb,a;
prot_1a4m.pdb,a;
prot_1a4q.pdb,a;
prot_1a4w.pdb,a;
prot_1a50.pdb,a;
prot_1a53.pdb,a;
prot_1a54.pdb,a;
prot_1a5a.pdb,a;
prot_1a5b.pdb,a;
prot_1a5g.pdb,a;
prot_1a5s.pdb,a;
prot_1a69.pdb,a;
prot_1a78.pdb,a;
prot_1a85.pdb,a;
prot_1a86.pdb,a;
prot_1a8g.pdb,a;
prot_1a8i.pdb,a;
prot_1a95.pdb,a;
prot_1a96.pdb,a;
prot_1a9m.pdb,a;
prot_1a9q.pdb,a;
prot_1a9r.pdb,a;
prot_1a9s.pdb,a;
prot_1a9t.pdb,a;
prot_1aaq.pdb,a;
prot_1aaw.pdb,a;
prot_1aax.pdb,a;
prot_1abe.pdb,a;
prot_1abf.pdb,a;
prot_1aco.pdb,a;
prot_1ad4.pdb,a;
prot_1add.pdb,a;
prot_1adl.pdb,a;
prot_1ado.pdb,a;
prot_1ae1.pdb,a;
prot_1ae8.pdb,a;
prot_1af6.pdb,a;
prot_1af7.pdb,a;
prot_1afe.pdb,a;
prot_1afq.pdb,a;
prot_1ag9.pdb,a;
prot_1agp.pdb,a;
prot_1ah5.pdb,a;
prot_1aha.pdb,a;
prot_1ahb.pdb,a;
prot_1ahe.pdb,a;
prot_1ahf.pdb,a;
prot_1aht.pdb,a;
prot_1ahx.pdb,a;
prot_1ahy.pdb,a;
prot_1ai5.pdb,a;
prot_1ai8.pdb,a;
prot_1aia.pdb,a;
prot_1aic.pdb,a;
prot_1aid.pdb,a;
prot_1aj0.pdb,a;
prot_1aj2.pdb,a;
prot_1ajk.pdb,a;
prot_1ajn.pdb,a;
prot_1ajp.pdb,a;
prot_1ajq.pdb,a;
prot_1ajs.pdb,a;
prot_1ajv.pdb,a;
prot_1aka.pdb,a;
prot_1akb.pdb,a;
prot_1akc.pdb,a;
prot_1akq.pdb,a;
prot_1akr.pdb,a;
prot_1akt.pdb,a;
prot_1aku.pdb,a;
prot_1akv.pdb,a;
prot_1akw.pdb,a;
prot_1aln.pdb,a;
prot_1alw.pdb,a;
prot_1ama.pdb,a;
prot_1ami.pdb,a;
prot_1amk.pdb,a;
prot_1amq.pdb,a;
prot_1amr.pdb,a;
prot_1amu.pdb,a;
prot_1anc.pdb,a;
prot_1and.pdb,a;
prot_1ane.pdb,a;
prot_1aor.pdb,a;
prot_1ap9.pdb,a;
prot_1apb.pdb,a;
prot_1apt.pdb,a;
prot_1apv.pdb,a;
prot_1apw.pdb,a;
prot_1aqb.pdb,a;
